gene	gains	losses
group_4158	4.31	0.7
group_8764	5.23	0.55
group_1306	6.94	0.81
group_13532	6.94	0.81
group_5492	6.84	0.76
group_6552*	5.46	1.01
group_4435*	6.54	0.94
group_7112	4.9	1.47
group_2733	6.26	1.44
group_3842**	4.47	0.37
group_2540*	5.97	0.47
group_4097	4.29	1.36
group_6054**	7.5	16
group_11358	7.88	2.47
group_6068	7.5	16
traL	7.5	16
traM_1*	7.5	16
group_5444	7.05	14.29
group_4747	7.5	16
group_4140*	7.5	16
trfB	7.5	16
group_6685	6	17.5
group_8010	6.5	17
group_9661	6	17.5
group_4221*	7.5	16
klcB	7.5	16
group_5245	7	16.5
group_4508	7.92	4.56
group_7434	6.96	0.93
group_10147	6.96	0.93
group_4402**	6.16	0.79
group_4003	6.9	1.24
group_5683**	6.11	0.58
group_3893**	6.19	1.3
group_6975	6.6	16.2
group_7929	4.92	1.43
group_5452*	5.57	0.89
group_6999	6.05	1.69
group_9057	6.48	0.99
group_2286	6.53	1.28
group_3656**	6.9	0.82
group_4328	6.9	0.82
erm	6.6	1.4
group_9208*	5.98	0.43
group_11011	5.98	0.43
group_7567	6.46	1.2
group_8709	5.8	1.1
group_6791	6.78	1.22
group_6370*	5.99	0.58
group_5664*	6.96	0.86
group_5202*	6.92	0.79
aplIM	6.46	1.13
group_6455	6.46	1.13
pspF_2	5.1	1.63
group_7290*	5.86	1.71
group_4041	6.98	0.53
group_9486	8.95	2.21
group_3779*	6.35	0.49
group_5311	7.62	2.52
group_5547	3.31	1.03
group_5067**	8.37	2.62
prtR	8.37	2.62
group_6338	8.37	2.62
group_5608	6.87	0.45
group_4626	3.75	1.52
group_5716	6.13	0.32
group_5290	5.58	0.56
group_4837	6	0.53
group_10445	6.79	0.83
group_6780	7.86	5.34
group_4430*	4.68	2.25
group_4400	6.36	0.6
group_7857	6.97	0.83
group_3592*	5.16	0.49
group_6020	4.64	0.73
group_10078	7.77	1.64
group_5290*	6.96	0.72
group_3435*	6.8	0.94
group_1893	6.8	0.94
umuC_3	6.8	1.11
group_5579	6.07	0.78
group_8909	6.42	1.21
group_3664****	5.7	0.84
group_4252	6.98	0.78
group_4470*	6.98	0.66
group_1178	6.99	0.45
group_3663*	5.87	0.54
group_4033*	5.63	0.93
group_7608	6.81	0.98
group_8020*	4.45	0.33
group_1381	6.72	6.59
group_6465	6.18	0.49
group_5751	6.28	0.32
group_3733	5.6	0.75
group_1818	8.54	4.86
group_10534	6.41	1.19
group_4156	6.46	1.23
group_4155	6.46	1.23
group_4140**	6.46	1.23
repB_1	6.46	1.23
group_4286	6.43	1.19
group_3319	6.43	1.19
group_4256	6.46	1.23
group_4251	6.46	1.23
group_13270	6.46	1.23
group_6494	6.46	1.23
group_3385**	6.46	1.23
group_3386	6.46	1.23
group_3846*	6.93	0.77
group_4890	6	0.47
group_2235*	6.28	1.42
group_7017	6.8	1.22
group_9761	6.8	1.22
group_9762	6.8	1.22
group_9769	6.8	1.22
group_1950	6.77	1.22
group_5045	6.77	1.1
group_4181	6.97	0.72
group_2863	5.8	1.23
group_1496	6.61	0.81
group_12575	5.99	0.46
group_6813*	5.99	0.47
group_6335	6.97	0.47
group_7419	6.01	0.41
group_9117*	6.01	0.41
group_11848	6.01	0.41
group_8174*	6.01	0.41
group_3345	6.01	0.41
group_5284	6.01	0.41
group_9108	6.01	0.41
group_4148	6.01	0.41
group_9106	6.01	0.41
group_9105	6.01	0.41
group_3352	6.01	0.41
group_7403*	6.01	0.41
group_8185	6.01	0.41
group_8186*	6.01	0.41
group_4140***	6.01	0.41
group_9098	6.01	0.41
group_5276	6.01	0.41
group_3362*	6.01	0.41
group_7393	6.01	0.41
group_4175	6.01	0.41
group_6597	6.26	0.59
group_12090	6.42	1.19
group_1849	6.42	1.19
group_12100	6.42	1.19
group_8923	6.42	1.19
group_1691	6.42	1.19
group_1695	6.42	1.19
group_3378	6.34	1.49
group_1408	6.98	0.57
group_8901	5.46	0.96
group_2300*	5.98	0.6
hha_1	5.98	0.19
group_3862	6.4	1.29
group_3216**	5.29	0.2
group_9569	5.98	0.52
group_890	5.47	0.97
group_2575*	5.99	0.39
group_2186	12.58	9.27
group_11375	5.99	0.45
group_6551*	14.24	8.33
group_1594	14.24	8.33
group_2859*	15.56	7.68
group_2860	17	6.5
group_2862	17	6.5
group_2831	16.5	7
group_2709	16.5	7
group_2957*	11.5	12
group_7338	11.5	12
traV_1	10	13.5
traR_2	11.5	12
group_8122	8.03	7.88
group_4196	6	17.5
group_4514	6	0.2
group_4058	6	0.38
group_6471**	6.81	15.78
group_5673	5.15	0.14
group_3874*	11.2	12.14
group_7145	5.99	0.46
group_8988	8.83	3.46
group_2863*	10.85	11.1
group_5709	8.65	14.49
group_5713	7.7	15.62
group_815	11.63	11.19
group_1561	11.13	12.11
dnaB_3	3.42	8.53
group_2638*	6.01	0.53
group_3926	8.97	4.17
group_2321	5.26	0.31
group_2375	6.27	13.01
group_7107	5.29	0.19
group_6596	5.84	0.49
group_10516	5.84	0.49
group_2013*	6	17.5
group_510	11.56	11.6
group_4246	6.11	15.25
group_3020	10.5	13
group_5734*	10	13.5
group_9756	11	12.5
group_2764	10	13.5
yggR_1	8	15.5
group_3029	11	12.5
group_2759**	10.5	13
group_1661	8.38	6.82
group_1496*	5.67	16.33
group_3979*	8.36	1.68
group_2718*	5.99	0.31
group_4384**	5.99	0.41
group_6893	7	16.5
group_7930*	4.86	0.72
mbeA_1	5.99	0.45
group_1296*	6.2	17.12
group_5160	7.5	16
group_6538*	6.5	16.25
group_3504*	6.5	16.25
group_2638**	6	0.23
group_5430	8.91000000000001	1.39
group_4251*	5.62	0.69
group_3493	5.84	0.97
group_4243	2.53	3.06
group_1497	5.89	0.82
group_4360	5.66	16.34
group_3033	5.98	0.39
group_7644	5.97	0.54
group_8343	7.42	1.56
group_6189	5.95	0.29
group_4047	9.62	13.59
group_4480*	8	15.5
group_7345	5.02	0.22
group_2362**	5.99	0.43
group_8620	6.8	1.22
group_8523	5	0.19
group_15155	4.61	0.55
group_2170*	5.85	1.07
group_11076	7.91	1.49
group_639	7.08	15.58
group_6261	12	11.5
group_3380	6.93	3.28
group_1849*	6.5	17
group_5932	6.5	17
group_3132	6.5	17
group_2118	5.62	0.68
group_3262	7.4	3.88
group_6338*	10	13.5
group_3932	3.87	0.57
group_4100	3.87	0.57
group_4097*	4.62	0.67
group_11758**	4	0.19
group_15521	4.98	0.6
group_15523	4.98	0.6
group_9678	4.66	0.74
group_11324	6.5	17
group_9613*	5.27	0.35
group_10594	5.1	1.19
group_3731	4.15	1.17
group_4474	4.23	0.47
group_3554	4	1.44
group_10847	4.26	0.24
group_10380	9.5	14
group_10880	1.98	1.3
group_4438	4.14	1.24
group_6051	7.98	1.51
group_8079	4.63	0.8
group_4530	5.99	0.39
group_3479	5.63	5.09
group_8431	5.26	0.09
group_4753	5.95	0.55
group_9373	5.26	0.23
group_5830	5.98	0.3
group_5517	5.24	0.13
group_2651	7.65	7.69
group_2911	8	15.5
group_2620	5.26	0.25
group_6344	5.29	0.19
group_10997	6.35	0.49
group_3663**	6.16	15.19
group_7390	5.97	0.34
group_8883	5.97	0.34
group_2062	7.59	1.74
group_3763*	5.98	0.4
group_8562	5.94	0.44
group_9991	5.24	0.29
group_7200***	6	0.39
group_5570	8.3	3.87
group_1971	8.3	3.87
group_3958	6	0.39
group_3680	7.45	8.79
group_6266	5.98	0.57
group_6361	6.66	2.67
group_8871*	5.46	0.91
group_1433	4.23	0.16
group_4531*	5.97	2.11
group_1849**	7.66	14.34
group_7895	7.14	1.42
group_5194	3.19	0.05
group_7901*	4.98	0.47
group_5470	4.14	1.23
group_5471	4.14	1.23
group_6404	4.14	1.23
