id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
27	37	Multi-cluster rare	454.310000000001	194.62	0	0	0	378	0	444	253	0	257	0	0	0
28	7	Multi-cluster rare	1718.64000000002	120.010000000001	0	0	0	805	0	214	1346	0	796	0	0	0
29	19	Multi-cluster rare	768.080000000005	187.400000000001	0	0	0	598	0	346	490	0	1211	0	0	0
30	51	Multi-cluster rare	29.65	492.969999999991	0	0	0	20	0	924	24	0	1677	0	0	0
31	17	Multi-cluster rare	593.090000000004	237.04	0	0	0	219	0	534	485	0	509	0	0	0
32	41	Multi-cluster rare	315.79	236.74	0	0	2	274	0	479	155	0	839	0	0	0
33	11	Multi-cluster rare	1242.44	177.07	0	0	0	448	0	343	330	0	293	0	0	625
34	25	Multi-cluster rare	856.810000000006	222.589999999999	0	0	4	276	0	442	540	0	644	0	0	178
35	18	Multi-cluster rare	600.070000000002	224.849999999999	0	0	5	268	0	450	381	0	803	0	0	87
36	4	Multi-cluster rare	2535.54999999996	66.1099999999998	0	0	2	694	0	112	2265	0	487	0	0	0
37	29	Multi-cluster rare	441.790000000002	281.349999999989	0	0	7	326	0	480	329	0	2423	0	0	0
38	3	Multi-cluster rare	2398.79999999998	68.2699999999994	0	0	0	1063	0	122	2097	0	712	0	0	0
39	13	Multi-cluster rare	812.700000000008	202.169999999994	0	0	0	860	0	325	580	0	2229	0	0	0
40	27	Multi-cluster rare	234.57	256.119999999999	0	0	0	50	0	483	88	0	674	0	0	121
41	47	Multi-cluster rare	263.619999999999	262.799999999998	0	0	0	230	0	490	168	0	1284	0	0	0
42	2	Multi-cluster rare	2376.55000000003	97.7200000000002	0	0	0	593	0	170	2151	0	354	0	0	0
43	20	Multi-cluster rare	366.06	407.229999999979	0	0	0	92	0	671	332	0	2173	0	0	0
44	44	Multi-cluster rare	311.110000000001	285.209999999998	0	0	0	128	0	558	240	0	1286	0	0	0
45	33	Multi-cluster rare	369.950000000002	163.81	0	0	0	412	0	373	141	0	238	0	0	0
46	38	Multi-cluster rare	294.76	244.62	0	0	0	227	0	558	170	0	209	0	0	0
47	31	Multi-cluster rare	378.970000000001	257.679999999998	0	0	0	269	0	515	235	0	1324	0	0	0
48	48	Multi-cluster rare	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	49	Multi-cluster rare	1.89	8.81999999999996	0	0	0	0	7	0	0	4	200	0	0	0
50	50	Multi-cluster rare	52.0900000000003	48.0200000000001	0	0	0	0	123	0	0	139	366	344	0	0
