gene	gains	losses
group_6449	2	3
hifA	2	3
group_7331	2	3
group_4367	2	3
group_4451	2	3
group_4627	2	3
group_4373	2	3
group_7334	2	3
group_7335	2	3
group_3935	2	3
group_5541	2	3
group_7338*	2	3
group_4619*	2	3
colE7*	3	2
group_3399	6	4
group_6865	6	0
group_1690	7	0
group_3212*	5	1
group_5062	6	0
group_2935	7	3
group_4161	5	1
group_1008	6	0
group_4660***	6	0
group_10713	6	0
group_2841*	8	0
group_4360*	6	0
group_1964	6	0
group_3818	6	0
group_9621	5	0
group_10393	5	0
group_2427	5	0
group_6241	6	0
group_2717	6	0
group_4383	5	1
group_11513	6	0
group_3818*	5	1
group_10933	5	1
group_9914	6	0
group_10139	6	0
group_10140	6	0
group_4660****	6	0
group_4349	6	0
rfbX	6	0
group_10144	6	0
group_6695	9	0
group_5893	6	1
group_9793	4	2
group_2374*	4	2
group_10897	3	3
group_2691*	4	2
group_7032	5	2
group_9660	6	0
group_8541	8	0
group_2809	5	1
group_3221	7	4
group_1980	9	6
group_4164*	8	4
group_9657	8	4
group_4162	8	4
group_6048	9	6
group_9679	8	4
group_11201	9	6
group_3409	8	5
group_4157	8	4
bin3	9	6
group_2889*	9	6
group_9673	9	6
group_7995	9	4
group_9671	9	4
group_6668*	8	4
group_6075	9	6
group_11211	9	6
traG	9	6
group_1468	6	0
group_7087*	5	1
group_5569	6	0
group_10822	5	0
group_2806	8	1
group_7069	5	4
group_3736*	6	0
group_5506*	5	1
trfA	9	2
group_11631	5	1
group_11121	5	0
group_10708	3	1
group_3528	5	1
group_6795	5	1
group_5108	11	1
group_7452	11	0
group_4341*	5	1
group_5341	6	0
group_2770	5	1
group_4058*	5	1
group_5987	4	1
group_7684	11	1
group_2347*	11	1
group_2722	4	2
group_10492	5	0
group_3294	6	0
group_2679	6	0
faeE	9	2
apxIB_2	8	0
group_2771	6	0
group_2770*	6	0
idnT_2	4	0
pdxA2	4	0
denK	4	0
ydjF_3	4	0
kdsD_2	4	0
group_4931	5	1
group_9401	5	1
group_7952	6	0
group_4234*	6	0
group_4463	5	0
group_5501**	5	0
group_6999*	5	0
group_5632	7	0
group_4942**	4	1
group_6337	3	2
group_4229	5	1
group_4549	5	1
group_3824	6	0
group_5664**	6	0
group_5665	6	0
group_6148	5	0
group_4700	1	5
group_6205	4	2
group_3528*	3	6
group_6414	5	0
group_5485	6	0
group_3378*	2	4
group_3893***	9	1
group_5199	6	0
group_3293*	5	0
group_5649	4	2
group_5538	5	0
group_4048*	3	7
group_7089	4	1
group_3612	5	1
group_6964	6	0
group_5485*	7	0
group_7052	6	0
group_7069*	6	0
group_4058**	6	0
group_6999**	5	1
group_3485*	5	1
group_6112	6	0
group_7816	6	0
group_10162	5	0
group_9420	6	0
group_4013	5	1
group_5131	6	0
group_1356	4	2
group_8878	5	1
group_8746	6	0
group_10494	6	0
group_4642*	6	0
group_9391	6	0
group_3543	5	1
group_6383	5	0
group_4726	5	0
group_3011	4	1
group_3547	3	0
group_7674	6	0
group_3629	5	0
group_6402	6	0
group_2604	8	1
group_8986	5	0
group_11101	6	1
group_3567	3	0
group_9743	6	0
group_5024*	9	1
cai	6	0
cna	6	0
group_4223**	6	0
group_9388	5	1
group_3709	6	0
group_2312	6	0
group_3957***	6	0
traM_1**	14	1
group_3735	6	0
hns_1	8	1
group_2641	9	1
group_4069*	9	1
group_3760	5	0
group_3662***	6	0
group_8897*	7	1
group_3258	5	1
group_13164	5	1
group_4158*	5	1
group_13166	5	1
group_6642	5	1
group_6641	5	1
group_13170	5	1
group_3267	5	1
group_6529*	5	1
group_4953	5	1
group_3271	5	1
group_13177	5	1
group_4148*	5	1
group_6534*	5	1
